4627,Stress de primavera,,,4617
77581,El grito del sur. Casas Viejas,1,1,77577
196402,(#5.12),5,12,196397
196409,Buscando un Valium desesperadamente,2,4,196397
196410,Buscarse la vida,2,8,196397
196411,"Bésame, Alicia",1,4,196397
196412,Cara de ángel,6,2,196397
196413,Caído del cielo,1,3,196397
196414,Cita a ciegas,5,9,196397
196415,Comunicando,2,2,196397
196416,Confidencias,5,8,196397
196417,Cosa Nostra,5,2,196397
196418,"Deseo, pasión y paciencia",4,13,196397
196420,El fin del milenio,5,5,196397
196421,El guateque,2,6,196397
196422,El secreto del éxito,2,7,196397
196424,Ellos y ella,4,11,196397
196425,Elígeme,3,1,196397
196426,Enamorados,1,8,196397
196427,Esta niña es mía,4,4,196397
196428,Esta tía es una hermana,1,9,196397
196429,Esto es la guerra,4,12,196397
196430,Gimnasia y amnesia,5,1,196397
196435,La quimera del oro,1,13,196397
196436,La tentación vive abajo,5,4,196397
196440,La visita,2,11,196397
196441,Lecciones íntimas,4,6,196397
196442,Los amigos de los niños,4,5,196397
196443,Madam Alicia,4,3,196397
196445,Malas influencias,6,1,196397
196446,Mamá sale todas las noches,1,11,196397
196447,"Mamá, papá... y la novia de papá",3,3,196397
196448,Margarita se llama mi amor,2,5,196397
196451,No me maltrates,1,5,196397
196452,Nímeros rojos,1,7,196397
196453,Padre no hay más que muchos,5,6,196397
196454,Papeles,1,2,196397
196455,Pequeño tirano,5,7,196397
196456,Petri woman,1,6,196397
196457,Predicando en el desierto,2,9,196397
196459,Revista de tropa,1,1,196397
196460,Seis en un sofá,1,10,196397
196461,Semana de pasión,3,4,196397
196462,Ser padres,5,10,196397
196464,Temor y temblor,1,12,196397
196465,Terapia de contacto,5,13,196397
196469,Una chica natural,2,10,196397
196470,Valiente San Valentín,5,3,196397
227654,El senyor Josep enganya a la dona i la dona del senyor Josep falta a l'home,1,2,227652
227656,Santiago Rusiñol: la vida,1,4,227652
276972,Adolphe et les menteuses,,,276971
276976,Martingale,,,276971
276978,Rendez-vous à Lisbonne,,,276971
276979,Retour,,,276971
288160,Ópera en Marineda,,,288125
300520,Instant Replay,2,9,300494
300558,Venus Flytrap,2,16,300494
325350,Párpados,1,13,325339
325352,Un instante en tu piel,1,10,325339
350674,(1986-02-10),,,350673
438770,El vuelo de la cometa,,,438552
440599,Shanghai Lilly,4,1,440544
489713,La zapatera prodigiosa,2,3,489705
495068,Damunt l'herba,,,495049
515018,Tots els que cauen,,,515016
531597,Albert i Francina,,,531596
531602,El Cafè de la Marina,,,531596
531612,La nau,,,531596
531613,La roda de la fortuna,,,531596
573572,Mnemos,,,573562
573668,El fin empezó ayer,3,3,573656
776607,Ball robat,,,776601
776616,El Tartuf,,,776601
776617,El verí del teatre,,,776601
776624,Homes i no,,,776601
776634,La llotja,,,776601
776647,Molt soroll per no res,,,776601
776652,Revolta de bruixes,,,776601
776653,Salomé,,,776601
776654,Sílvia Ocampo,,,776601
810978,En el barrio sobra siensia y lo que farta se inventa,1,1,810963
839230,(#1.1),1,1,839229
839231,(#1.10),1,10,839229
839232,(#1.2),1,2,839229
839233,(#1.3),1,3,839229
839234,(#1.4),1,4,839229
839235,(#1.6),1,6,839229
839236,(#1.8),1,8,839229
839237,(#1.9),1,9,839229
839238,(#2.16),2,16,839229
839239,(#2.22),2,22,839229
839240,(#2.4),2,4,839229
839241,(#2.5),2,5,839229
839242,(1997-06-12),,,839229
839243,(1997-06-19),,,839229
839244,(1997-09-25),,,839229
839245,(1997-10-02),,,839229
839246,(1997-10-23),,,839229
839247,(1997-11-13),,,839229
839248,(1997-11-20),,,839229
839249,(1997-11-27),,,839229
839250,(1997-12-11),,,839229
839251,(1997-12-25),,,839229
839252,A toda pastilla,,,839229
839253,Acusado,,,839229
839254,"Al pan, pan",2,8,839229
839255,Borriquito como tú,,,839229
839256,Bésame mucho,2,13,839229
839257,Castillos en el aire,2,1,839229
839258,Cincuenta tacos,2,2,839229
839259,Con nueve basta,,,839229
839260,Cosas de críos,2,20,839229
839261,Cría cuervos,2,23,839229
839262,Dime que me quieres,2,14,839229
839263,El hombre del traje gris,3,1,839229
839264,El niño del Pellizquito,,,839229
839265,El que se fue a Sevilla,2,12,839229
839266,Expediente F,,,839229
839267,Fuimos novios,2,11,839229
839268,Haciendo trampas,1,5,839229
839269,"Hogar, dulce hogar",3,6,839229
839270,La abuela cumple 80 años,3,4,839229
839271,La guerra del taxi,,,839229
839272,La sombra de una duda,2,10,839229
839273,La vida sigue igual,2,6,839229
839274,La última carrera,,,839229
839275,Las chicas son guerreras,2,9,839229
839276,Llamando a las puertas del cielo,2,17,839229
839277,Los niños no vienen de París,2,19,839229
839278,Madre no hay más que dos,2,3,839229
839280,Pareja de ases,3,3,839229
839281,Rebelde con causa,2,7,839229
839282,Regalo de pedida,3,2,839229
839283,Sin perdón,2,21,839229
839284,Sucedió una noche,,,839229
839285,Tres meses y un día,1,7,839229
839286,Tres no son multitud,1,11,839229
839287,Un tranvía llamado deseo,2,18,839229
839288,Y se armó el Belén,2,15,839229
839289,"Ya está aquí, ya llegó",,,839229
839291,¡Fuego!,3,5,839229
839292,¡Qué noche la de aquel fin de año!,,,839229
924691,Més fort que la vida mateixa,1,7,924681
925672,El camino I,,,925576
926111,Elisabeth i Maria,,,926089
980573,Alla ricerca di Sheherazade,,,980572
980575,El hermano pequeño,,,980572
980576,Il centravanti è stato assassinato verso sera,,,980572
980578,La solitude du manager,,,980572
980581,"Padre, patrón",,,980572
980582,Tal como éramos,,,980572
1110800,La sombra del delator,1,3,1110798
1145332,Sonata de primavera,1,1,1145329
1229043,Das Automobil,1,6,1229042
1229044,Der Salonlöwe,1,5,1229042
1229045,Die Braut,1,3,1229042
1229046,Die Geburt,1,1,1229042
1229047,Die Hochzeit,1,7,1229042
1229048,Die Renovierung,1,2,1229042
1229049,Die Wiege,1,4,1229042
1493541,Caramboles,,,1493539
1584282,La opinión de Amy,,,1584273
